Name,Points,Fgm,Fga,3fgm,3fga,Ftm,Fta,Efg%,Opp_Efg%,Ts%,Ft/Fga,Opp_Ft/Fga,Ast,Reb,RebO,RebD,RebO%,RebD%,To%,Opp_To%,Stl,Blk,Fouls,Min,To,Eff
Granby G,25,11,33,0,6,3,7,0.333,0.371,0.344,0.212,0.161,7,25,6,19,0.353,0.613,0.505,0.193,3,3,4,160,37,4
South Hadley G,53,20,62,6,22,7,10,0.371,0.333,0.397,0.161,0.212,14,23,12,11,0.387,0.647,0.193,0.505,18,2,8,160,16,55
Amherst G,55,13,39,2,15,27,41,0.359,0.279,0.47,1.051,0.442,2,34,12,22,0.414,0.786,0.374,0.395,14,5,19,160,35,45
Northampton G,33,9,43,6,15,9,19,0.279,0.359,0.317,0.442,1.051,5,23,6,17,0.214,0.586,0.395,0.374,14,0,24,160,34,6
Amherst B,43,14,47,6,20,9,15,0.362,0.294,0.397,0.319,0.373,9,32,12,20,0.353,0.588,0.228,0.178,4,3,17,180,16,43
Northampton B,43,13,51,4,14,13,19,0.294,0.362,0.358,0.373,0.319,3,36,14,22,0.412,0.647,0.178,0.228,8,2,21,180,13,41
Frontier G,48,17,64,5,18,9,12,0.305,0.287,0.344,0.188,0.148,13,37,17,20,0.472,0.606,0.167,0.237,11,1,14,160,14,52
Mahar G,37,13,54,5,15,6,8,0.287,0.305,0.32,0.148,0.188,10,32,13,19,0.394,0.528,0.237,0.167,7,0,12,160,18,29
Putnam B,71,29,56,7,16,6,12,0.58,0.345,0.575,0.214,0.293,18,41,11,30,0.423,0.811,0.206,0.164,7,6,13,172.8,16,99
Agawam B,48,17,58,6,16,8,17,0.345,0.58,0.363,0.293,0.214,6,22,7,15,0.189,0.577,0.164,0.206,10,2,10,175.6,13,32
Chicopee G,50,22,65,1,10,5,22,0.346,0.295,0.331,0.338,0.205,8,48,26,22,0.591,0.786,0.21,0.399,27,5,15,157.9,20,71
Chic. Comp G,31,11,44,4,14,5,9,0.295,0.346,0.321,0.205,0.338,10,24,6,18,0.214,0.409,0.399,0.21,10,1,18,159,32,13
Chic. Comp B,62,22,47,7,15,11,14,0.543,0.489,0.578,0.298,0.432,8,31,8,23,0.348,0.767,0.218,0.145,5,2,21,160,15,69
Chicopee B,56,19,44,5,12,13,19,0.489,0.543,0.528,0.432,0.298,9,22,7,15,0.233,0.652,0.145,0.218,7,4,16,160,9,64
Easthampton G,49,16,51,3,13,14,26,0.343,0.289,0.387,0.51,0.298,9,38,14,24,0.452,0.6,0.307,0.308,17,2,14,160,28,50
Hampshire G,44,15,57,3,10,11,17,0.289,0.343,0.338,0.298,0.51,12,33,16,17,0.4,0.548,0.308,0.307,16,3,20,160,29,35
Easthampton B,56,19,47,4,11,14,17,0.447,0.392,0.508,0.362,0.255,9,37,10,27,0.345,0.9,0.203,0.185,7,0,12,161,14,67
Hampshire B,45,17,51,6,24,5,13,0.392,0.447,0.394,0.255,0.362,9,22,3,19,0.1,0.655,0.185,0.203,4,0,14,160,13,35